Exercise,Multiplier,Phrase
"Aerobics, traditional at high intensity",0.076,high intensity aerobics.
"Aerobics, traditional",0.061666667,aerobics.
"Aerobics, general",0.045384615,aerobics.
"Aerobics, high impact",0.052948718,high impact aerobics.
"Aerobics, low impact",0.038020833,low impact aerobics.
"Aerobics, water",0.030416667,water aerobics.
"Archery, non-hunting",0.026538462,archery.
Automobile repair,0.022692308,repairing automobiles.
Backpacking,0.053229167,backpacking.
"Backpacking, general",0.052948718,backpacking.
"Badminton, competitive",0.052948718,competitive badminton.
"Badminton, social, general",0.034102564,badminton.
Basketball,0.0625,basketball.
"Basketball, full court",0.093333333,full court basketball.
"Basketball, fun game",0.060512821,recreational basketball.
"Basketball, nongame, general",0.045384615,shooting hoops.
"Basketball, officiating",0.052948718,reffing basketball.
"Basketball, shooting baskets",0.034102564,shooting hoops.
"Basketball, wheelchair",0.049230769,basketball in a wheelchair.
"Bicycling, < 10 mph, leisure",0.030416667,leisure biking.
"Bicycling, >20mph, racing",0.121025641,bike racing.
"Bicycling, 10-11.9mph, light effort",0.045384615,easy biking.
"Bicycling, 12-13.9mph, moderate effort",0.060512821,moderate biking.
"Bicycling, 14-15.9mph, vigorous effort",0.075641026,vigorous biking.
"Bicycling, 16-19mph, very fast, racing",0.090769231,bike racing.
"Bicycling, BMX or mountain",0.064358974,mountain biking.
"Bicycling, stationary, general",0.037820513,stationary bicycling.
"Bicycling, stationary, light effort",0.041666667,easy stationary biking.
"Bicycling, stationary, moderate effort",0.052948718,moderate stationary biking.
"Bicycling, stationary, very light effort",0.022692308,easy pedaling on a bike.
"Bicycling, stationary, very vigorous effort",0.094615385,extreme stationary biking.
"Bicycling, stationary, vigorous effort",0.079487179,hard core stationary biking.
Billiards,0.018974359,billiards.
Bowling,0.0228125,bowling.
"Boxing, in ring, general",0.090769231,boxing.
"Boxing, punching bag",0.045384615,punching a bag.
"Boxing, sparring",0.068076923,sparring.
Broomball,0.052948718,broomball.
"Calisthenics, pushups/sit-ups, vigorous effort",0.060512821,strenuous calisthenics.
"Calisthenics, home, light/moderate effort",0.034102564,moderate calisthenics.
"Canoeing, on camping trip",0.03025641,canoeing.
"Canoeing, rowing, >6 mph, vigorous effort",0.090769231,vigorous rowing.
"Canoeing, rowing, crewing, competition",0.090769231,competitive rowing.
"Canoeing, rowing, light effort",0.022692308,light rowing.
"Canoeing, rowing, moderate effort",0.052948718,moderate rowing.
"Carpentry, general",0.026538462,carpentry.
"Carrying heavy loads, such as bricks",0.060512821,carrying a load of bricks.
"Child care, sitting/kneeling-dressing, feeding",0.022692308,stationary child care.
"Child care, standing-dressing, feeding",0.026538462,vigorous baby sitting.
"Circuit training, general",0.060512821,circuit training.
"Cleaning, heavy, vigorous effort",0.034102564,heavy cleaning.
"Cleaning, house, general",0.026538462,cleaning around the house.
"Cleaning, light, moderate effort",0.018974359,moderate cleaning.
"Coaching: football, soccer, basketball, etc.",0.03025641,coaching a sporting event.
"Construction, outside, remodeling",0.041666667,outisde construction work.
Cooking or food preparation,0.018974359,cooking.
"Cricket, batting/bowling",0.037820513,cricket.
Croquet,0.018974359,croquet.
Cross country ski machine,0.039230769,stationary cross country skiing.
Curling,0.03025641,curling.
Dancing - Rock & Roll,0.031428571,Rock & Roll dance.
"Dancing, aerobic",0.032692308,aerobic dancing.
"Dancing, aerobic, ballet or modern, twist",0.045384615,ballet or modern danceing.
"Dancing, ballroom, fast",0.041666667,fast ballroom dancing.
"Dancing, ballroom, slow",0.022692308,slow ballroom dancing
"Dancing, general",0.034102564,dancing.
"Darts, wall or lawn",0.018974359,playing a game of darts.
"Diving, springboard or platform",0.022692308,board diving.
Driving Car,0.006944444,driving a car.
Eating,0.006538462,eating.
"Electrical work, plumbing",0.026538462,doing h andyman work.
"Farming, baling hay, cleaning barn",0.060512821,baling hay.
"Farming, milking by hand",0.022692308,milking a cow.
"Farming, shoveling grain",0.041666667,shoveling grain.
Fencing,0.045384615,fencing.
"Fishing from boat, sitting",0.018974359,fishing on a boat.
"Fishing from river bank, standing",0.026538462,fishing on a bank.
"Fishing in stream, in waders",0.045384615,fishing in a stream.
"Fishing, general",0.03025641,fishing.
"Fishing, ice, sitting",0.015128205,ice-fishing.
Food Shopping w/Cart,0.008333333,grocery shopping.
