Restaurant,Item,Type,Protein,Fat,Carbohydrates,Calories,Cal/Pro,Sodium
Arby's,Angus 3 Cheese and Bacon no ranch,Beef,46,22,44,560,12.2,1830
Arby's,Angus Philly no mayo,Beef,39,14,46,460,11.8,1470
Arby's,Chicken Bacon Swiss,Chicken,35,30,52,610,17.4,1390
Arby's,Chicken Cordon Bleu no mayo,Chicken,37,22,49,540,14.6,1570
Arby's,Chicken Cordon Bleu no mayo,"Ham, Pork",37,22,49,540,14.6,1570
Arby's,Chicken n Cheese Slider,Chicken,15,12,30,290,19.3,720
Arby's,Classic Beef n Cheddar no sauce or mayo,Beef,23,15,40,390,17,1170
Arby's,Classic Roast Beef no sauce/mayo,Beef,23,14,37,360,15.7,970
Arby's,Corned Beef n Cheese Slider,Beef,14,9,21,220,15.7,890
Arby's,Crispy Chicken Farmhouse Salad w/light Italian,Salad,28,25,29,440,15.7,1720
Arby's,Crispy Chicken no mayo,Chicken,24,13,49,400,16.7,1040
Arby's,Crispy Fish Flatbread no sauce,Seafood,21,15,68,480,22.9,890
Arby's,Crispy Fish no sauce,Seafood,20,15,61,450,22.5,710
Arby's,French Dip n Swiss no au jus,Beef,33,21,42,490,14.8,1730
Arby's,Grand Turkey Club no mayo,Turkey,30,24,37,480,16,1610
Arby's,Ham n Cheese Slider,"Ham, Pork",13,9,22,230,17.7,750
Arby's,Hamburger no ketchup,Beef,9,9,24,220,24.4,370
Arby's,Jalapeno Roast Beef Slider,Beef,14,11,21,240,17.1,670
Arby's,Jr Bacon Cheddar Melt,Beef,16,12,26,280,17.5,880
Arby's,Jr Ham and Cheddar,"Ham, Pork",13,8,28,230,17.7,890
Arby's,Jr Roast Beef,Beef,12,7,24,210,17.5,530
Arby's,King's Hawaiian Fish Deluxe no sauce,Seafood,25,23,70,580,23.2,720
Arby's,Loaded Italian,Deli Meat,32,38,49,670,20.9,2230
Arby's,Max Roast Beef no sauce,Beef,43,27,38,560,13,1830
Arby's,Mid Beef n Cheddar no sauce/mayo,Beef,33,21,41,490,14.8,1600
Arby's,Mid Roast Beef no sauce,Beef,33,20,37,460,13.9,1400
Arby's,"Prime Cut Chicken Tenders, 3 no sauce",Chicken,23,17,28,360,15.7,950
Arby's,"Prime Cut Chicken Tenders, 5 no sauce",Chicken,39,28,47,600,15.4,1590
Arby's,Reuben no spread,Beef,37,17,59,540,14.6,2170
Arby's,Roast Beef n Cheese Slider,Beef,14,11,21,240,17.1,670
Arby's,Roast Turkey and Swiss no mayo,Turkey,38,17,78,610,16.1,1860
Arby's,Roast Turkey and Swiss Wrap no mayo,Turkey,30,16,38,410,13.7,1570
Arby's,Roast Turkey Farmhouse Salad w/light Italian,Salad,22,7,11,250,11.4,1590
Arby's,Roast Turkey Ranch and Bacon no ranch,Turkey,44,20,78,660,15,2130
