Restaurant,Item,Calories,Image
Arby's,Fire Roasted Philly,630,FireRoastedPhilly_18_tile_Desktop_1024x557.png
Arby's,Chicken n Cheese Slider,290,Chicken-Slider_20_tile_Desktop_1024x557.png
Arby's,Classic Beef n Cheddar no sauce or mayo,390,ClassicBnC_18_tile_Desktop_1024x557.png
Arby's,Classic Roast Beef no sauce/mayo,360,ClassicRB_18_tile_Desktop_1024x557.png
Arby's,Crispy Chicken no mayo,400,CrispyChicken_18_tile_Desktop_1024x557.png
Arby's,French Dip n Swiss no au jus,490,FrenchDip_18_tile_Desktop_1024x557_v2.png
Arby's,Ham n Cheese Slider,230,Ham-Slider_20_tile_Desktop_1024x557.png
Arby's,Hamburger no ketchup,220,default_item.png
Arby's,Jalapeno Roast Beef Slider,240,JalapenoRB-Slider_20_tile_Desktop_1024x557.png
Arby's,Loaded Italian,670,LoadedItalian_18_tile_Desktop_1024x557.png
Arby's,Max Roast Beef no sauce,560,ClassicRB_18_tile_Desktop_1024x557.png
Arby's,Mid Beef n Cheddar no sauce/mayo,490,ClassicBnC_18_tile_Desktop_1024x557.png
Arby's,Mid Roast Beef no sauce,460,ClassicRB_18_tile_Desktop_1024x557.png
Arby's,"Prime Cut Chicken Tenders, 3 no sauce",360,ChickenTenders_3pc_18_tile_Desktop_1024x557.png
Arby's,"Prime Cut Chicken Tenders, 5 no sauce",600,ChickenTenders_3pc_18_tile_Desktop_1024x557.png
Arby's,Reuben no spread,540,Reuben_18_tile_Desktop_1024x557.png
Arby's,Roast Beef n Cheese Slider,240,RoastBeef-Slider_20_tile_Desktop_1024x557.png
Arby's,Roast Turkey and Swiss no mayo,610,RoastTurkeySwiss_18_tile_Desktop_1024x557.png
Arby's,Roast Turkey and Swiss Wrap no mayo,410,TRB-Wrap_20_tile_Desktop_1024x557.png
Arby's,Roast Turkey Ranch and Bacon no ranch,660,TurkeyBaconRanch_18_tile_Desktop_1024x557.png
Arby's,Smokehoues Brisket no mayon or onion strings,480,SmokeHouseBrisket_18_tile_Desktop_1024x557.png
Burger King,Bacon and Cheese Whopper no mayo,630,33d6f14492cfd584a1671fb39e3275362fa51c43-400x266.png
Burger King,Bacon Double Cheeseburger no ketchup,380,3d1b8bfcf86f970151e8f7020e6a395e666e2e09-592x344.png
Burger King,"Bacon, Egg and Cheese Biscuit",450,a73168cca799f9ff5bec303938117c0045d83217-400x266.png
Burger King,"Bacon, Egg and Cheese Croissan'wich",340,932eedf07b738b450fb3c96894830cfc380bb103-400x266.png
Burger King,Chicken Club Salad,610,bcf57f8b9969f05bfabe44da3e42198213336c3f-400x266.png
Burger King,"Chicken Fries, 9",290,833fe1247051e9b8fd02624aceb3465069b7c13d-400x266.png
Burger King,"Chicken Nuggets, 10",470,0ca059b6b202484acd1f74301091951e94595b4a-400x266.png
Burger King,"Chicken Nuggets, 4",190,0ca059b6b202484acd1f74301091951e94595b4a-400x266.png
Burger King,"Chicken Nuggets, 6",280,0ca059b6b202484acd1f74301091951e94595b4a-400x266.png
Burger King,Crispy Chicken Jr no mayo,290,0df2b1047c801f865db6d9f7f21407ef0a9f232e-400x266.png
Burger King,Double Whopper no mayo,740,7f9dfb65fee737b14ff1767725f3d3e3e6eb0512-400x266.png
Burger King,Egg and Cheese Croissan'wich,300,546c4446da94eb6ddbee72f5f28f9d031d003993-400x266.png
Burger King,Extra Long Fish Sandwich no sauce,390,d9ade26c553f32e775828e85bbc36c87b11267c7-400x266.png
Burger King,King Croissan'wich with Double Sausage,700,b9e13a667e09b403ae65821265711338ad22a748-400x266.png
Burger King,King Croissan'wich with Ham and Sausage,530,13a55b75cb2763c2f905bdf1563c69347fb83504-400x266.png
Burger King,King Croissan'wich with Sausage and Bacon,570,932eedf07b738b450fb3c96894830cfc380bb103-400x266.png
Burger King,Original Chicken Sandwich no mayo,450,0df2b1047c801f865db6d9f7f21407ef0a9f232e-400x266.png
Burger King,"Sausage, Egg and Cheese Biscuit",510,ea6c181c2aaa701494d595ad581961284bc25def-400x266.png
Burger King,"Sausage, Egg and Cheese Croissan'wich",470,546c4446da94eb6ddbee72f5f28f9d031d003993-400x266.png
Burger King,Tendercrisp Chicken Sandwich no mayo,440,c5160b84f374bdb22d3dbd1c7585be56e3263c1e-400x266.png
Burger King,Tendergrill Chicken Sandwich no Mayo,350,c5160b84f374bdb22d3dbd1c7585be56e3263c1e-400x266.png
Burger King,Tendergrill Chicken Sandwich no mayo,350,c5160b84f374bdb22d3dbd1c7585be56e3263c1e-400x266.png
Burger King,Triple Whopper no mayo,1020,ccfadaf0383a241cd972af84daab901113dae81c-400x266.png
Burger King,Whopper Jr. Sandwich no Mayo,230,2f82c53b868df2fe462a9fa76f596633d72dae77-592x344.png
Burger King,Whopper no ketchup/mayo,500,bc1de9d5b571a315f9d75c881c548c2519825458-400x266.png
Chick-fil-a,Chicken Biscuit,460,_0000s_0000_Stack620_0000_CFA_1605_60_Biscuit_Chicken_PROD_2155_1240px.png
Chick-fil-a,Chicken Breakfast Burrito,460,_0000s_0004_ChickenSausageBurrito-pdp_1797v2_2880px_resize2.png
Chick-fil-a,Chicken Deluxe,500,_0000s_0004_NEWStack6200001CFAPDPDeluxeSandwich1085png.png
Chick-fil-a,"Chicken Nuggets, 6",200,nuggets_8ct_PDP.png
Chick-fil-a,"Chicken, Egg and Cheese bagel",480,Final__0001_CFA_PDP_ChkEggCheeseBagel_620.png
Chick-fil-a,Chicken Sandwich,440,Jul19_CFASandwich_pdp.png
Chick-fil-a,Chick-n-Minis,370,_0000s_0014_[Feed]_0000s_0024_Breakfast_Chicken-Mini-4ct.png
Chick-fil-a,"Chick-n-Strips, 4",470,strips_3ct_PDP.png
Chick-fil-a,Cobb Salad no dressing,500,cobbSalad_nug_pdp.png
Chick-fil-a,Grilled Chicken Club,440,grilledClub_colbyJack_PDP.png
Chick-fil-a,Grilled Chicken Club Sandwich,440,grilledClub_colbyJack_PDP.png
Chick-fil-a,Grilled Chicken Cool Wrap,340,wrap_pdp.png
Chick-fil-a,Grilled Chicken Sandwich,320,_0000s_0009_Final__0026_CFA_PDP_Grilled-Deluxe-Sandwich_1085.png
Chick-fil-a,Grilled Market Salad,320,marketSalad_grilled_pdp.png
Chick-fil-a,"Grilled Nuggets, 6",100,grilledNuggets_8ct_PDP.png
Chick-fil-a,"Grilled Nuggets, 8",140,grilledNuggets_8ct_PDP.png
Chick-fil-a,Spicy Southwest Salad,420,sswSalad_spicyGrilled_pdp.png
Dairy Queen,Applesauce,45,apple sauce.png
Dairy Queen,1/2 lb FlameThrower GrillBurger,1000,Burger_GrillBurger_Half-Flamethrower.png
Dairy Queen,"1/2 lb GrillBurger with Cheese, no mayo, no ketchup",740,Burger_GrillBurger_Qtr-Cheese.png
Dairy Queen,"1/2 lb GrillBurger, no mayo, no ketchup",640,Burger_GrillBurger_Qtr-Cheese.png
Dairy Queen,"1/4 lb Bacon Cheese Grillburger, no mayo, no ketchup",560,Burger_GrillBurger_BaconCheese.png
Dairy Queen,"1/4 lb GrillBurger, no mayo, no ketchup",420,Burger_GrillBurger_Qtr-Cheese.png
Dairy Queen,Beef Chili and Cheese Dog,380,Hot-Dogs_Chili-Cheese_470x500.png
Dairy Queen,Beef Chili and Cheese Mega Dog,670,Chili_Dog_lg_470x500.png
Dairy Queen,"Beef Chili Dog, no ketchup",320,Chili_Dog_lg_470x500.png
Dairy Queen,"Beef Hot Dog, no ketchup",280,Hot-Dogs_8-to-1_470x500.png
Dairy Queen,"Beef Mega Hot Dog, no ketchup",550,Hot-Dogs_8-to-1_470x500.png
Dairy Queen,"BLT Salad with Crispy Chicken, no dressing",520,Salads_Grilled-Chicken_180x191.png
Dairy Queen,"BLT Salad with Grilled Chicken, no dressing",380,Salads_Grilled-Chicken_180x191.png
Dairy Queen,"Cheeseburger, no ketchup",390,Burger_Original-Cheeseburger.png
Dairy Queen,"Chicken Bacon Ranch Sandwich, no dressing",420,DQBakes_Sandwich_Chicken-Bacon-Ranch_17-04_470x500.png
Dairy Queen,"Crispy Chicken Sandwich, no mayo",490,CrispyChicSand_MB_ShinyBun_Q219_f.psd.r72.png
Dairy Queen,"Deluxe Cheeseburger, no ketchup",390,Burger_GrillBurger_Qtr-Cheese.png
Dairy Queen,"Deluxe Double Cheeseburger, no ketchup",620,Burger_GrillBurger_Qtr-Cheese.png
Dairy Queen,"Deluxe Double Hamburger, no ketchup",540,Burger_Original-Double_1-Cheese-Slice_470x500.png
Dairy Queen,"Deluxe Hamburger, no ketchup",350,Burger_Original-Double_1-Cheese-Slice_470x500.png
Dairy Queen,"Double Cheeseburger, no ketchup",620,Burger_Original-Double_1-Cheese-Slice_470x500.png
Dairy Queen,Double Hamburger. no ketchup,520,Burger_Original-Double_1-Cheese-Slice_470x500.png
Dairy Queen,"DQ Ultimate Burger, no sauce",720,Burger_GrillBurger_Qtr-Cheese.png
Dairy Queen,"Grilled Chicken Sandwich, no mayo",290,GrilledChicSand_MB_ShinyBun_Q219_f.psd.r72.png
Dairy Queen,"Hamburger, no ketchup",340,Burger_Original-Hamburger.png
Dairy Queen,Turkey BLT Sandwich,430,DQBakes_Sandwich_Turkey-BLT_470x500.png
Dairy Queen,White Cheese Curds,570,FOOD_CheeseCurds_870x810.png
In-n-Out,"Cheeseburger mustard and ketchup, no spread",400,cheeseburger-meal.png
In-n-Out,Cheeseburger Protein Style,300,Cheesburger-Protein-FINAL.png
In-n-Out,Double Double Protein Style,520,Healthiest-Fast-Food-Burgers-In-N-Out-722x406.png
In-n-Out,"Double Double, mustard and ketchup, no spread",590,double-double-meal.png
In-n-Out,Hamburger Protein Style,240,innout.png
In-n-Out,"Hamburger with mustard and ketchup, no spread",310,hamburger-meal.png
McDonalds,Buttermilk Crispy Chicken Sandwich,600,t-mcdonalds-Premium-Buttermilk-Crispy-Chicken-Deluxe-Sandwich.png
McDonalds,"Bacon, Egg and Cheese Bagel",570,t-mcdonalds-Bacon-Egg-Cheese-Bagel.png
McDonalds,"Bacon, Egg and Cheese Biscuit (reg)",450,t-mcdonalds-Bacon-Egg-Cheese-Biscuit-Regular-Size-Biscuit.png
McDonalds,"Bacon, Egg and Cheese McGriddle",450,t-mcdonalds-Bacon-Egg-Cheese-McGriddles.png
McDonalds,Big Breakfast with Hotcakes,1050,t-mcdonalds-Big-Breakfast-with-Hotcakes-Regular-Size-Biscuit.png
McDonalds,"Big Mac, no sauce",450,t-mcdonalds-Big-Mac.png
McDonalds,Cheeseburger,300,t-mcdonalds-Cheeseburger.png
McDonalds,"Crispy Chicken Deluxe Sandwich, no mayo",530,t-mcdonalds-Premium-Buttermilk-Crispy-Chicken-Deluxe-Sandwich.png
McDonalds,Double Cheeseburger,440,t-mcdonalds-Double-Cheeseburger.png
McDonalds,Double Quarter Pounder w/Cheese no bun,580,t-mcdonalds-Double-Quarter-Pounder-with-Cheese.png
McDonalds,Double Quarter Pounder with Cheese,780,t-mcdonalds-Double-Quarter-Pounder-with-Cheese.png
McDonalds,Egg McMuffin,300,t-mcdonalds-Egg-McMuffin.png
McDonalds,"Filet-O-Fish, no sauce",300,t-mcdonalds-Filet-O-Fish.png
McDonalds,Fruit and Maple Oatmeal,290,t-mcdonalds-Fruit-Maple-Oatmeal.png
McDonalds,Hamburger,250,t-mcdonalds-Hamburger.png
McDonalds,Hotcakes and Sausage,510,t-mcdonalds-Hotcakes-and-Sausage
McDonalds,"McChicken, no mayo",320,t-mcdonalds-McChicken.png
McDonalds,McDouble,390,t-mcdonalds-McDouble.png
McDonalds,McNuggets (10),470,t-mcdonalds-Chicken-McNuggets-4pc.png
